"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Both sexes","Kilkenny","1956","Population","Number","64089"
"Both sexes","Kilkenny","1956","Population Change since previous Census","Number","-1146"
"Both sexes","Kilkenny","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-3.5"
"Both sexes","Kilkenny","1961","Population","Number","61668"
"Both sexes","Kilkenny","1961","Population Change since previous Census","Number","-2421"
"Both sexes","Kilkenny","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-7.7"
"Both sexes","Kilkenny","1966","Population","Number","60463"
"Both sexes","Kilkenny","1966","Population Change since previous Census","Number","-1205"
"Both sexes","Kilkenny","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Both sexes","Kilkenny","1971","Population","Number","61473"
"Both sexes","Kilkenny","1971","Population Change since previous Census","Number","1010"
"Both sexes","Kilkenny","1971","Annual Rate of Population Increase","No. per 1000 Pop.","3.3"
"Both sexes","Kilkenny","1979","Population","Number","69156"
"Both sexes","Kilkenny","1979","Population Change since previous Census","Number","7683"
"Both sexes","Kilkenny","1979","Annual Rate of Population Increase","No. per 1000 Pop.","14.8"
"Both sexes","Kilkenny","1981","Population","Number","70806"
"Both sexes","Kilkenny","1981","Population Change since previous Census","Number","1650"
"Both sexes","Kilkenny","1981","Annual Rate of Population Increase","No. per 1000 Pop.","11.9"
"Both sexes","Kilkenny","1986","Population","Number","73186"
"Both sexes","Kilkenny","1986","Population Change since previous Census","Number","2380"
"Both sexes","Kilkenny","1986","Annual Rate of Population Increase","No. per 1000 Pop.","6.6"
"Both sexes","Kilkenny","1991","Population","Number","73635"
"Both sexes","Kilkenny","1991","Population Change since previous Census","Number","449"
"Both sexes","Kilkenny","1991","Annual Rate of Population Increase","No. per 1000 Pop.","1.2"
"Both sexes","Kilkenny","1996","Population","Number","75336"
"Both sexes","Kilkenny","1996","Population Change since previous Census","Number","1701"
"Both sexes","Kilkenny","1996","Annual Rate of Population Increase","No. per 1000 Pop.","4.6"
"Both sexes","Kilkenny","2002","Population","Number","80339"
"Both sexes","Kilkenny","2002","Population Change since previous Census","Number","5003"
"Both sexes","Kilkenny","2002","Annual Rate of Population Increase","No. per 1000 Pop.","10.8"
"Both sexes","Kilkenny","2006","Population","Number","87558"
"Both sexes","Kilkenny","2006","Population Change since previous Census","Number","7219"
"Both sexes","Kilkenny","2006","Annual Rate of Population Increase","No. per 1000 Pop.","21.7"
"Both sexes","Kilkenny","2011","Population","Number","95419"
"Both sexes","Kilkenny","2011","Population Change since previous Census","Number","7861"
"Both sexes","Kilkenny","2011","Annual Rate of Population Increase","No. per 1000 Pop.","17.2"
"Both sexes","Kilkenny","2016","Population","Number","99232"
"Both sexes","Kilkenny","2016","Population Change since previous Census","Number","3813"
"Both sexes","Kilkenny","2016","Annual Rate of Population Increase","No. per 1000 Pop.","7.8"
"Both sexes","Laois","1841","Population","Number","153930"
"Both sexes","Laois","1841","Population Change since previous Census","Number",""
"Both sexes","Laois","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Laois","1851","Population","Number","111664"
"Both sexes","Laois","1851","Population Change since previous Census","Number","-42266"
"Both sexes","Laois","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-31.6"
"Both sexes","Laois","1861","Population","Number","90650"
"Both sexes","Laois","1861","Population Change since previous Census","Number","-21014"
"Both sexes","Laois","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-20.6"
"Both sexes","Laois","1871","Population","Number","79771"
"Both sexes","Laois","1871","Population Change since previous Census","Number","-10879"
"Both sexes","Laois","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-12.7"
"Both sexes","Laois","1881","Population","Number","73124"
"Both sexes","Laois","1881","Population Change since previous Census","Number","-6647"
"Both sexes","Laois","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-8.7"
"Both sexes","Laois","1891","Population","Number","64883"
"Both sexes","Laois","1891","Population Change since previous Census","Number","-8241"
"Both sexes","Laois","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-11.9"
"Both sexes","Laois","1901","Population","Number","57417"
"Both sexes","Laois","1901","Population Change since previous Census","Number","-7466"
"Both sexes","Laois","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-12.2"
"Both sexes","Laois","1911","Population","Number","54629"
"Both sexes","Laois","1911","Population Change since previous Census","Number","-2788"
"Both sexes","Laois","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-5"
"Both sexes","Laois","1926","Population","Number","51540"
"Both sexes","Laois","1926","Population Change since previous Census","Number","-3089"
"Both sexes","Laois","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Both sexes","Laois","1936","Population","Number","50109"
"Both sexes","Laois","1936","Population Change since previous Census","Number","-1431"
"Both sexes","Laois","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-2.8"
"Both sexes","Laois","1946","Population","Number","49697"
"Both sexes","Laois","1946","Population Change since previous Census","Number","-412"
"Both sexes","Laois","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-0.8"
"Both sexes","Laois","1951","Population","Number","48430"
"Both sexes","Laois","1951","Population Change since previous Census","Number","-1267"
"Both sexes","Laois","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-5.2"
"Both sexes","Laois","1956","Population","Number","47087"
"Both sexes","Laois","1956","Population Change since previous Census","Number","-1343"
"Both sexes","Laois","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-5.6"
"Both sexes","Laois","1961","Population","Number","45069"
"Both sexes","Laois","1961","Population Change since previous Census","Number","-2018"
"Both sexes","Laois","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-8.7"
"Both sexes","Laois","1966","Population","Number","44595"
"Both sexes","Laois","1966","Population Change since previous Census","Number","-474"
"Both sexes","Laois","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-2.1"
"Both sexes","Laois","1971","Population","Number","45259"
"Both sexes","Laois","1971","Population Change since previous Census","Number","664"
"Both sexes","Laois","1971","Annual Rate of Population Increase","No. per 1000 Pop.","3"
"Both sexes","Laois","1979","Population","Number","49936"
"Both sexes","Laois","1979","Population Change since previous Census","Number","4677"
"Both sexes","Laois","1979","Annual Rate of Population Increase","No. per 1000 Pop.","12.4"
"Both sexes","Laois","1981","Population","Number","51171"
"Both sexes","Laois","1981","Population Change since previous Census","Number","1235"
"Both sexes","Laois","1981","Annual Rate of Population Increase","No. per 1000 Pop.","12.3"
"Both sexes","Laois","1986","Population","Number","53284"
"Both sexes","Laois","1986","Population Change since previous Census","Number","2113"
"Both sexes","Laois","1986","Annual Rate of Population Increase","No. per 1000 Pop.","8.1"
"Both sexes","Laois","1991","Population","Number","52314"
"Both sexes","Laois","1991","Population Change since previous Census","Number","-970"
"Both sexes","Laois","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-3.7"
"Both sexes","Laois","1996","Population","Number","52945"
"Both sexes","Laois","1996","Population Change since previous Census","Number","631"
"Both sexes","Laois","1996","Annual Rate of Population Increase","No. per 1000 Pop.","2.4"
"Both sexes","Laois","2002","Population","Number","58774"
"Both sexes","Laois","2002","Population Change since previous Census","Number","5829"
"Both sexes","Laois","2002","Annual Rate of Population Increase","No. per 1000 Pop.","17.6"
"Both sexes","Laois","2006","Population","Number","67059"
"Both sexes","Laois","2006","Population Change since previous Census","Number","8285"
"Both sexes","Laois","2006","Annual Rate of Population Increase","No. per 1000 Pop.","33.5"
"Both sexes","Laois","2011","Population","Number","80559"
"Both sexes","Laois","2011","Population Change since previous Census","Number","13500"
"Both sexes","Laois","2011","Annual Rate of Population Increase","No. per 1000 Pop.","36.6"
"Both sexes","Laois","2016","Population","Number","84697"
"Both sexes","Laois","2016","Population Change since previous Census","Number","4138"
"Both sexes","Laois","2016","Annual Rate of Population Increase","No. per 1000 Pop.","10"
"Both sexes","Longford","1841","Population","Number","115491"
"Both sexes","Longford","1841","Population Change since previous Census","Number",""
"Both sexes","Longford","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Longford","1851","Population","Number","82348"
"Both sexes","Longford","1851","Population Change since previous Census","Number","-33143"
"Both sexes","Longford","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-33.3"
"Both sexes","Longford","1861","Population","Number","71694"
"Both sexes","Longford","1861","Population Change since previous Census","Number","-10654"
"Both sexes","Longford","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-13.8"
"Both sexes","Longford","1871","Population","Number","64501"
"Both sexes","Longford","1871","Population Change since previous Census","Number","-7193"
"Both sexes","Longford","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-10.5"
"Both sexes","Longford","1881","Population","Number","61009"
"Both sexes","Longford","1881","Population Change since previous Census","Number","-3492"
"Both sexes","Longford","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-5.6"
"Both sexes","Longford","1891","Population","Number","52647"
"Both sexes","Longford","1891","Population Change since previous Census","Number","-8362"
"Both sexes","Longford","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-14.6"
"Both sexes","Longford","1901","Population","Number","46672"
"Both sexes","Longford","1901","Population Change since previous Census","Number","-5975"
"Both sexes","Longford","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-12"
"Both sexes","Longford","1911","Population","Number","43820"
"Both sexes","Longford","1911","Population Change since previous Census","Number","-2852"
"Both sexes","Longford","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-6.3"
"Both sexes","Longford","1926","Population","Number","39847"
"Both sexes","Longford","1926","Population Change since previous Census","Number","-3973"
"Both sexes","Longford","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-6.3"
"Both sexes","Longford","1936","Population","Number","37847"
"Both sexes","Longford","1936","Population Change since previous Census","Number","-2000"
"Both sexes","Longford","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-5.1"
"Both sexes","Longford","1946","Population","Number","36218"
"Both sexes","Longford","1946","Population Change since previous Census","Number","-1629"
"Both sexes","Longford","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-4.4"
